,TITLE,YEAR,AUTHOR,CLASSIFIED_AUTHORS
113,Desenvolvimento de um drone autônomo para tarefas de entrega de carga,2020,"['L.  ROCHA, THIAGO', 'M.  C.  REZENDE, ADRIANO', 'R.  F.  MIRANDA, VICTOR', 'AZPURUA, HECTOR', 'GUSTAVO MEDEIROS FREITAS']","['L.  ROCHA, THIAGO (externo)', 'M.  C.  REZENDE, ADRIANO (egresso(s/o))', 'R.  F.  MIRANDA, VICTOR (egresso(s/o))', 'AZPURUA, HECTOR (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
114,"Laboratório de Projeto - Concepção, Gestão e Implementação de Projetos Aplicados ao Ensino de Engenharia de Sistemas",2020,"['NESIO, RENATA', 'F.  FREITAS, PEDRO', 'GUSTAVO MEDEIROS FREITAS']","['NESIO, RENATA (externo)', 'F.  FREITAS, PEDRO (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
115,Investigação de Técnicas LiDAR SLAM para um Dispositivo Robótico de Inspeção de Ambientes Confinados,2020,"['PEREIRA DA CRUZ JUNIOR, GILMAR', 'DO CARMO MATOS, LUCAS VINICIUS', 'AZPURUA, HECTOR', 'PESSIN, GUSTAVO', 'GUSTAVO MEDEIROS FREITAS']","['PEREIRA DA CRUZ JUNIOR, GILMAR (externo)', 'DO CARMO MATOS, LUCAS VINICIUS (externo)', 'AZPURUA, HECTOR (externo)', 'PESSIN, GUSTAVO (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
116,Sistema de Alertas e Operação Assistida de um Robô para a Inspeçãao de Ambientes Confinados - EspeleoRobô,2020,"['AMARAL, ISRAEL', 'GUSTAVO MEDEIROS FREITAS', 'FANY, CAROLINA', 'SIMON, DAVID', 'MATOS, LUCAS', 'ARAUJO, ALVARO', 'LEAO, LUCCA', 'REZENDE, ADRIANO', 'AZPURUA, HECTOR', 'PESSIN, GUSTAVO']","['AMARAL, ISRAEL (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)', 'FANY, CAROLINA (externo)', 'SIMON, DAVID (externo)', 'MATOS, LUCAS (externo)', 'ARAUJO, ALVARO (externo)', 'LEAO, LUCCA (externo)', 'REZENDE, ADRIANO (egresso(s/o))', 'AZPURUA, HECTOR (externo)', 'PESSIN, GUSTAVO (externo)']"
117,Empirical Analysis on the State of Transfer Learning for Small Data Text Classification Tasks Using Contextual Embeddings,2020,"['CARVALHO, FELIPE', 'CRISTIANO LEITE DE CASTRO']","['CARVALHO, FELIPE (egresso(s/o))', 'CRISTIANO LEITE DE CASTRO (docente)']"
118,Aprendizado Ativo via Algoritmo de Evolução Diferencial,2020,"['DE FREITAS DIADELMO, MARCUS VINICIUS', 'DE PAULA, MARCUS VINICIUS', 'MARTINS REZENDE, TAMIRES', 'DE PADUA BRAGA, ANTONIO', 'CRISTIANO LEITE DE CASTRO']","['DE FREITAS DIADELMO, MARCUS VINICIUS (egresso(s/o))', 'DE PAULA, MARCUS VINICIUS (egresso(s/o))', 'MARTINS REZENDE, TAMIRES (egresso(s/o))', 'DE PADUA BRAGA, ANTONIO (docente)', 'CRISTIANO LEITE DE CASTRO (docente)']"
119,An Incremental Learning approach using Long Short-Term Memory Neural Networks,2020,"['C.  LEMOS NETO, ALVARO', 'A.  COELHO, RODRIGO', 'CRISTIANO LEITE DE CASTRO']","['C.  LEMOS NETO, ALVARO (discente)', 'A.  COELHO, RODRIGO (discente)', 'CRISTIANO LEITE DE CASTRO (docente)']"
120,Abordagem Espacial via Quadtree para Detecção de Mudança de Conceito em Fluxos de Dados Contínuos,2020,"['A.  COELHO, RODRIGO', 'CRISTIANO LEITE DE CASTRO']","['A.  COELHO, RODRIGO (discente)', 'CRISTIANO LEITE DE CASTRO (docente)']"
121,Uma Proposta de Correção de Dados Ruidosos via K-Nearest Neighbours,2020,"['M.  MAGALHAES PINTO, VICTOR', 'CRISTIANO LEITE DE CASTRO']","['M.  MAGALHAES PINTO, VICTOR (discente)', 'CRISTIANO LEITE DE CASTRO (docente)']"
122,Proposta de Sistema Aumentado para Controle Preditivo Baseado em Modelo de Inversor Trifásico com Filtro LC,2020,"['R.  A.  DEUS, FELIPE', 'C.  S.  CAMPOS, VICTOR', 'GABRIEL AZEVEDO FOGLI']","['R.  A.  DEUS, FELIPE (externo)', 'C.  S.  CAMPOS, VICTOR (docente)', 'GABRIEL AZEVEDO FOGLI (docente)']"
